Participant,Task,Description,uGlyph,Actuator,Reciever,Context,Movement,Goodness,Social Comfort,Paradigm,Modal,Modal uGlyph,Coding Flag
p1,Rotate,slide thumb on ring finger,t↔••(r•l),t,r l,••,↔,5,4,Landmark Slide,FALSE,,
p12,Rotate,slide thumb across ring,t↔••(r•MCP),t,r MCP,••,↔,3,5,Landmark Slide,FALSE,,
p11,Rotate,slide index on thumb on index tip,i↕••(t•),i,t,••,↕,4,3,Landmark Slide,FALSE,,
p10,Rotate,circle with index,i↻↺ ◦◦,i,-,◦◦,↻↺,5,4,Joystick,FALSE,,*
p7,Rotate,rotate upheld finger,t↻↺ ◦◦,i,-,◦◦,↻↺,3,5,Joystick,FALSE,,*
p4,Rotate,palm up then rotate wrist,wrist↻↺ ◦◦,wrist,-,◦◦,↻↺,4,4,Pose Proxy,TRUE,palm▲,
p5,Rotate,3 Finger s out then rotate wrist,wrist↻↺ ◦◦,wrist,-,◦◦,↻↺,3,3,Pose Proxy,TRUE,"t,I,m▲◦◦",
p8,Rotate,"raise index and thumb, then twist wrsit",wrist↻↺ ◦◦,wrist,-,◦◦,↻↺,4,4,Pose Proxy,TRUE,"t,i▲◦◦",
p2,Rotate,slide thimb along index,t↻↺ ••(i•l),t,i l,••,↻↺,3,3,Landmark Slide,FALSE,,
p9,Rotate,rotate thumb on fingers face,"t↻↺ ••(i,m,r,p•f)",t,"i,m,r,p f",••,↻↺,5,5,Landmark Slide,FALSE,,*
p10,Summon,flick on thumb,i▲•◦(t•t),i,t t,•◦,▲,4,3,Dedicated Gesture,FALSE,,
p7,Summon,bloom gesture,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,4,5,Dedicated Gesture,FALSE,,
p2,Summon,open hand,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,4,4,Dedicated Gesture,FALSE,,
p3,Summon,open hand,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,5,4,Dedicated Gesture,FALSE,,
p4,Summon,open hand,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,4,3,Dedicated Gesture,FALSE,,
p8,Summon,bloom,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,4,4,Dedicated Gesture,FALSE,,
p9,Summon,bloom,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,3,4,Dedicated Gesture,FALSE,,
p11,Summon,open hand,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,3,4,Dedicated Gesture,FALSE,,
p1,Summon,swipe thumb up hand,"t▲••◦(i,m,r,p•f)",t,"i,m,r,p f",••◦,▲,3,4,Landmark Slide,FALSE,,*
p5,Summon,beckon gesture,"i,m,r,p▼◦•(palm◦)","i,m,r,p",palm,◦•,▼,3,4,Dedicated Gesture,FALSE,,
p6,Summon,tap thumb and index,t▼◦•(l•t),t,i t,◦•,▼,4,4,Landmark Touch,FALSE,,
p12,Summon,5 finger pinch,"t▼◦•(i,m,r,p•)",t,"i,m,r,p",◦•,▼,5,4,Dedicated Gesture,FALSE,,
p10,Zoom,5 finger pinch,"t↕◦◦(i,m,r,p◦)",t,"i,m,r,p",◦◦,↕,5,5,Relative Expansion,FALSE,,
p6,Zoom,touch tips of gingers for zoom in or out,t▼◦•(r•t|p•t),t,r t  | p t,◦•,▼,3,4,Landmark Touch,FALSE,,
p7,Zoom,pinch on index middle to zoom,i↔◦◦(m◦),i,m,◦◦,↔,2,2,Relative Expansion,FALSE,,
p4,Zoom,pinch index and middle,i↔◦◦(m◦),i,m,◦◦,↔,5,4,Relative Expansion,FALSE,,
p3,Zoom,switch mode with pinky touch then figner slide,"t↔••(i,m,r,p•b)",t,"i,m,r,p b",••,↔,5,5,Landmark Slide,TRUE,t▼◦•(p•t),
p1,Zoom,slide across middle tip,t↔••(m•tl),t,m lt,••,↔,4,4,Landmark Slide,FALSE,,
p8,Zoom,2 figner pinch,t↕◦◦(i◦),t,i,◦◦,↕,4,5,Relative Expansion,FALSE,,
p11,Zoom,pinch and zoom with 2fingers,t↕◦◦(i◦),t,i,◦◦,↕,5,4,Relative Expansion,FALSE,,
p2,Zoom,thumb middle pinch,t↕◦◦(m◦),t,m,◦◦,↕,4,4,Relative Expansion,FALSE,,
p9,Zoom,slide on index,t↕••(i•),t,i,••,↕,5,5,Landmark Slide,FALSE,,
p12,Zoom,slide thumb along middle figner,t↕••(m•),t,m,••,↕,4,5,Landmark Slide,FALSE,,
p5,Zoom,rotate on middle finger left tip,t↻↺ ••(m•lt),t,m lt,••,↻↺,4,4,Landmark Slide,FALSE,,
